DATAFLOW,LAST UPDATE,freq,unit,coicop18,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-11,69.72,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2012-12,69.89,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-01,69.45,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-02,69.68,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-03,70.36,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-04,70.37,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-05,70.45,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-06,70.33,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-07,69.88,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-08,70.05,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-09,70.72,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-10,70.71,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-11,70.73,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2013-12,71.27,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-01,70.51,,
ESTAT:PRC_HICP_MINR(1.0),02/06/26 11:00:00,Monthly,"Index, 2025=100",Total,Austria,2014-02,70.71,,
